Period,NotesCoinsNotAdj,M0Growth,M0GrowthRate,GrowthStatusM0
2021-09,2955827,28051,0.949006826177581,Growth
2021-08,2927776,4049,0.138296099155127,Growth
2021-07,2923727,6381,0.21824883102971,Growth
2021-06,2917346,22422,0.768575273553428,Growth
2021-05,2894924,9086,0.313859707543272,Growth
2021-04,2885838,16688,0.578272238427798,Growth
2021-03,2869150,22502,0.784274088144572,Growth
2021-02,2846648,23100,0.811480731021187,Growth
2021-01,2823548,2191,0.0775974058170784,Growth
2020-12,2821357,15406,0.546049294718818,Growth
2020-11,2805951,22793,0.812309266982923,Growth
2020-10,2783158,-3750,-0.134739026674016,Decline
2020-09,2786908,21360,0.766440801059812,Growth
2020-08,2765548,-16718,-0.60450948600422,Decline
2020-07,2782266,33292,1.19657861613519,Growth
2020-06,2748974,29458,1.07159980414511,Growth
2020-05,2719516,51537,1.89507985979858,Growth
2020-04,2667979,55792,2.09117088252944,Growth
2020-03,2612187,82125,3.14391733823038,Growth
2020-02,2530062,13876,0.548445057868147,Growth
2020-01,2516186,10239,0.406925402176151,Growth
2019-12,2505947,-5461,-0.217921608078702,Decline
2019-11,2511408,26151,1.04128839280595,Growth
2019-10,2485257,9602,0.386358432950797,Growth
2019-09,2475655,12922,0.521962874471604,Growth
2019-08,2462733,20002,0.812187110823626,Growth
2019-07,2442731,10904,0.446385623304408,Growth
2019-06,2431827,3142,0.129203269804966,Growth
2019-05,2428685,-2179,-0.0897193337135116,Decline
2019-04,2430864,16846,0.693004627161371,Growth
2019-03,2414018,5830,0.241506069963024,Growth
2019-02,2408188,9738,0.404370422907182,Growth
2019-01,2398450,-15732,-0.655923617336196,Decline
2018-12,2414182,12168,0.504021652054402,Growth
2018-11,2402014,3965,0.165069812249221,Growth
2018-10,2398049,12138,0.506161467092624,Growth
2018-09,2385911,2935,0.12301380898114,Growth
2018-08,2382976,4314,0.181034135467583,Growth
2018-07,2378662,2008,0.0844172059754602,Growth
2018-06,2376654,1921,0.0808279202610056,Growth
2018-05,2374733,16559,0.697299443769047,Growth
2018-04,2358174,372,0.0157749173725094,Growth
2018-03,2357802,-12161,-0.515776982121484,Decline
2018-02,2369963,-4818,-0.203294313033579,Decline
2018-01,2374781,15075,0.634795376921072,Growth
2017-12,2359706,-10948,-0.463956103006053,Decline
2017-11,2370654,5397,0.227658696714071,Growth
2017-10,2365257,8938,0.377887054134075,Growth
2017-09,2356319,22091,0.937521617404095,Growth
2017-08,2334228,24143,1.03430341851781,Growth
2017-07,2310085,-5807,-0.251376031617884,Decline
2017-06,2315892,7311,0.315688296345425,Growth
2017-05,2308581,-6188,-0.268043443136715,Decline
2017-04,2314769,26225,1.13294242319644,Growth
2017-03,2288544,34663,1.51463113665282,Growth
2017-02,2253881,1903,0.084432141714669,Growth
2017-01,2251978,1128,0.050089299273794,Growth
2016-12,2250850,-9254,-0.411133571761779,Decline
2016-11,2260104,9755,0.431617306106268,Growth
2016-10,2250349,21633,0.961317555632482,Growth
2016-09,2228716,108,0.00484583948784861,Growth
2016-08,2228608,16875,0.757199112629947,Growth
2016-07,2211733,21731,0.982532701732081,Growth
2016-06,2190002,37634,1.71844591922747,Growth
2016-05,2152368,23580,1.09553756606677,Growth
2016-04,2128788,-3161,-0.148488247772911,Decline
2016-03,2131949,4630,0.217172174381282,Growth
2016-02,2127319,19590,0.920877404846194,Growth
2016-01,2107729,-10919,-0.518045725992288,Decline
2015-12,2118648,-2216,-0.104595005871669,Decline
2015-11,2120864,10017,0.472307512410037,Growth
2015-10,2110847,15219,0.720990199668664,Growth
2015-09,2095628,-19201,-0.916240859541865,Decline
2015-08,2114829,-11048,-0.522406303299227,Decline
2015-07,2125877,15574,0.732591772713097,Growth
2015-06,2110303,-10228,-0.484669736999853,Decline
2015-05,2120531,13770,0.649365654168696,Growth
2015-04,2106761,2905,0.137889395142591,Growth
2015-03,2103856,21920,1.04189640355614,Growth
2015-02,2081936,-17,-0.00081654767485648,Decline
2015-01,2081953,-23039,-1.10660519233623,Decline
2014-12,2104992,-2918,-0.138622854623676,Decline
2014-11,2107910,5589,0.26514414752053,Growth
2014-10,2102321,-4257,-0.20249048551577,Decline
2014-09,2106578,-12958,-0.615120826287942,Decline
2014-08,2119536,12500,0.589751719244212,Growth
2014-07,2107036,-2167,-0.102845893473106,Decline
2014-06,2109203,9374,0.444433276455609,Growth
2014-05,2099829,-1152,-0.0548616101596844,Decline
2014-04,2100981,-6998,-0.333082498128255,Decline
2014-03,2107979,-34778,-1.64982668233412,Decline
2014-02,2142757,20861,0.973558830982701,Growth
2014-01,2121896,15608,0.73556856697972,Growth
2013-12,2106288,-42472,-2.01643839778796,Decline
2013-11,2148760,10570,0.491911614140248,Growth
2013-10,2138190,-1836,-0.0858670183660011,Decline
2013-09,2140026,10527,0.491909911374909,Growth
2013-08,2129499,21024,0.987274471601067,Growth
2013-07,2108475,11286,0.535268381175968,Growth
2013-06,2097189,2526,0.120446941119756,Growth
2013-05,2094663,3745,0.178787709526544,Growth
2013-04,2090918,-2409,-0.115212552572602,Decline
2013-03,2093327,-2672,-0.127643698285074,Decline
2013-02,2095999,4584,0.218702394419081,Growth
2013-01,2091415,-131,-0.00626370184779204,Decline
2012-12,2091546,15499,0.741030797314522,Growth
2012-11,2076047,993,0.0478312870566032,Growth
2012-10,2075054,-5629,-0.271270048875836,Decline
2012-09,2080683,3752,0.180325402764381,Growth
2012-08,2076931,11786,0.567471909273828,Growth
2012-07,2065145,-2670,-0.129288742436972,Decline
2012-06,2067815,-20700,-1.00105667093043,Decline
2012-05,2088515,3402,0.162890857858335,Growth
2012-04,2085113,16088,0.77156489840119,Growth
2012-03,2069025,3005,0.145237491088798,Growth
2012-02,2066020,-27971,-1.35385911075401,Decline
2012-01,2093991,4124,0.196944494985891,Growth
2011-12,2089867,-19945,-0.954366952538128,Decline
2011-11,2109812,-11329,-0.536967274809319,Decline
2011-10,2121141,-13153,-0.62009079075837,Decline
2011-09,2134294,-9003,-0.421825671627245,Decline
2011-08,2143297,-9190,-0.428778652701889,Decline
2011-07,2152487,-3040,-0.141231979565963,Decline
2011-06,2155527,-5774,-0.267869527962303,Decline
2011-05,2161301,-420,-0.01943273981736,Decline
2011-04,2161721,-918,-0.042466164690078,Decline
2011-03,2162639,17549,0.811462292134748,Growth
2011-02,2145090,-4851,-0.226144357579402,Decline
2011-01,2149941,-6102,-0.283821742085015,Decline
2010-12,2156043,-21842,-1.01305957255955,Decline
2010-11,2177885,-10174,-0.467150469377401,Decline
2010-10,2188059,4808,0.219738133203904,Growth
2010-09,2183251,8997,0.412091875831043,Growth
2010-08,2174254,-26017,-1.19659432614589,Decline
2010-07,2200271,104,0.00472669048494481,Growth
2010-06,2200167,-490,-0.0222710366985779,Decline
2010-05,2200657,-12685,-0.576418769485658,Decline
2010-04,2213342,-6187,-0.27953203797696,Decline
2010-03,2219529,10138,0.456763574614254,Growth
2010-02,2209391,211,0.00955014300320767,Growth
2010-01,2209180,167321,7.57389619677889,Growth
2009-12,2041859,-14689,-0.719393454690064,Decline
2009-11,2056548,-3590,-0.174564367085038,Decline
2009-10,2060138,50964,2.47381486094621,Growth
2009-09,2009174,20930,1.04172162291569,Growth
2009-08,1988244,1938,0.0974729459764496,Growth
2009-07,1986306,8892,0.447665163373619,Growth
2009-06,1977414,-5045,-0.25513119660324,Decline
2009-05,1982459,2626,0.132461755829503,Growth
2009-04,1979833,-30682,-1.54972666886551,Decline
2009-03,2010515,19024,0.946225220901112,Growth
2009-02,1991491,21949,1.10213905059074,Growth
2009-01,1969542,32303,1.64012750172375,Growth
2008-12,1937239,28892,1.49140090613497,Growth
2008-11,1908347,27786,1.4560245070734,Growth
2008-10,1880561,57686,3.06748890357718,Growth
2008-09,1822875,36759,2.01653980662415,Growth
2008-08,1786116,21014,1.17651933021148,Growth
2008-07,1765102,-2473,-0.140105217715463,Decline
2008-06,1767575,30855,1.74561192594374,Growth
2008-05,1736720,12064,0.694642774885992,Growth
2008-04,1724656,6036,0.349982837157091,Growth
2008-03,1718620,29362,1.70846376744132,Growth
2008-02,1689258,7900,0.467660949363567,Growth
2008-01,1681358,7432,0.442023649930592,Growth
2007-12,1673926,25595,1.52904011288432,Growth
2007-11,1648331,5854,0.3551471154762,Growth
2007-10,1642477,-4528,-0.275681181532527,Decline
2007-09,1647005,23117,1.40357800978139,Growth
2007-08,1623888,20553,1.26566610505158,Growth
2007-07,1603335,2302,0.143575734328759,Growth
2007-06,1601033,23315,1.45624731033027,Growth
2007-05,1577718,20863,1.32235291731475,Growth
2007-04,1556855,13375,0.85910377010062,Growth
2007-03,1543480,36905,2.39102547490087,Growth
2007-02,1506575,15026,0.997361565139472,Growth
2007-01,1491549,-7414,-0.497067142950047,Decline
2006-12,1498963,19111,1.27494808077317,Growth
2006-11,1479852,10408,0.703313574600703,Growth
2006-10,1469444,8991,0.611864079202746,Growth
2006-09,1460453,33118,2.26765257081193,Growth
2006-08,1427335,8625,0.604272998280011,Growth
2006-07,1418710,-1781,-0.125536579004871,Decline
2006-06,1420491,33851,2.38304924142427,Growth
2006-05,1386640,6921,0.499120175387988,Growth
2006-04,1379719,13724,0.994695296650985,Growth
2006-03,1365995,30369,2.22321457984839,Growth
2006-02,1335626,16020,1.19943756710337,Growth
2006-01,1319606,-8711,-0.660121278624074,Decline
2005-12,1328317,20101,1.51326829363774,Growth
2005-11,1308216,20239,1.54706867978988,Growth
2005-10,1287977,10822,0.840232395454267,Growth
2005-09,1277155,21684,1.69783620625531,Growth
2005-08,1255471,-921,-0.0733589226672699,Decline
2005-07,1256392,5827,0.463788371782055,Growth
2005-06,1250565,8398,0.671536465517586,Growth
2005-05,1242167,18491,1.48860821451544,Growth
2005-04,1223676,6731,0.550063905805131,Growth
2005-03,1216945,27811,2.28531281200054,Growth
2005-02,1189134,11645,0.979284084047719,Growth
2005-01,1177489,-1724,-0.146413257363763,Decline
2004-12,1179213,12441,1.05502568238308,Growth
2004-11,1166772,8344,0.715135433486577,Growth
2004-10,1158428,9942,0.858232017872496,Growth
2004-09,1148486,5236,0.455904556085142,Growth
2004-08,1143250,9914,0.867176907937896,Growth
2004-07,1133336,-94,-0.00829409813153381,Decline
2004-06,1133430,12235,1.07946675136532,Growth
2004-05,1121195,12015,1.07162447210343,Growth
2004-04,1109180,7256,0.654176959555708,Growth
2004-03,1101924,14016,1.27195704966949,Growth
2004-02,1087908,7594,0.698036966361126,Growth
2004-01,1080314,-983,-0.0909920634185987,Decline
2003-12,1081297,10739,0.993159141290506,Growth
2003-11,1070558,15538,1.45139263823165,Growth
2003-10,1055020,3858,0.365680271464048,Growth
2003-09,1051162,10877,1.03475962791653,Growth
2003-08,1040285,3568,0.34298293256175,Growth
2003-07,1036717,-11390,-1.09866048304407,Decline
2003-06,1048107,14755,1.4077761144616,Growth
2003-05,1033352,4066,0.39347676300041,Growth
2003-04,1029286,8652,0.840582695188704,Growth
2003-03,1020634,15823,1.55031088519489,Growth
2003-02,1004811,10498,1.04477359423812,Growth
2003-01,994313,-14430,-1.45125327738851,Decline
2002-12,1008743,5995,0.594304000126891,Growth
2002-11,1002748,7960,0.793818586524231,Growth
2002-10,994788,5359,0.538707744765719,Growth
2002-09,989429,7090,0.716574913409653,Growth
2002-08,982339,11457,1.16629798877984,Growth
2002-07,970882,-4841,-0.498618781685107,Decline
2002-06,975723,16537,1.69484577077716,Growth
2002-05,959186,3979,0.414830908708009,Growth
2002-04,955207,-6,-0.000628136100342648,Decline
2002-03,955213,13603,1.42408028366448,Growth
2002-02,941610,10479,1.11288112912989,Growth
2002-01,931131,-11466,-1.23140567761142,Decline
2001-12,942597,-3379,-0.358477695133763,Decline
2001-11,945976,3579,0.378339408187946,Growth
2001-10,942397,5295,0.561865116293876,Growth
2001-09,937102,6798,0.725427968353498,Growth
2001-08,930304,11525,1.23884235690699,Growth
2001-07,918779,-2722,-0.296262757420446,Decline
2001-06,921501,12153,1.31882656665592,Growth
2001-05,909348,3684,0.405125430528247,Growth
2001-04,905664,-83,-0.00916454667514663,Decline
2001-03,905747,20151,2.22479345777574,Growth
2001-02,885596,4586,0.517843350692641,Growth
2001-01,881010,-3863,-0.438474024131395,Decline
2000-12,884873,9793,1.10671248868482,Growth
2000-11,875080,436,0.0498240160899575,Growth
2000-10,874644,8211,0.938781950142001,Growth
2000-09,866433,-800,-0.0923325865935393,Decline
2000-08,867233,14950,1.7238735149608,Growth
2000-07,852283,-3998,-0.469093012532222,Decline
2000-06,856281,8703,1.0163719620078,Growth
2000-05,847578,6687,0.788953936982791,Growth
2000-04,840891,4594,0.546325266889526,Growth
2000-03,836297,26143,3.12604254230256,Growth
2000-02,810154,7936,0.979566847784495,Growth
2000-01,802218,-14381,-1.79265486438848,Decline
1999-12,816599,10762,1.31790511621983,Growth
1999-11,805837,6280,0.77931393073289,Growth
1999-10,799557,5732,0.716896981703618,Growth
1999-09,793825,-3441,-0.433470853147734,Decline
1999-08,797266,270,0.0338657361533039,Growth
1999-07,796996,-3947,-0.495234605945325,Decline
1999-06,800943,-3029,-0.37817922124296,Decline
1999-05,803972,5029,0.625519296691925,Growth
1999-04,798943,5920,0.74097901852823,Growth
1999-03,793023,7282,0.918258360728503,Growth
1999-02,785741,8484,1.07974510684819,Growth
1999-01,777257,-6096,-0.784296571146995,Decline
1998-12,783353,3504,0.447307918652255,Growth
1998-11,779849,8463,1.0852100855422,Growth
1998-10,771386,2607,0.337963095000428,Growth
1998-09,768779,7362,0.957622411642358,Growth
1998-08,761417,-5416,-0.711305368805792,Decline
1998-07,766833,9787,1.27628831831703,Growth
1998-06,757046,8066,1.06545705280789,Growth
1998-05,748980,7118,0.950359155117627,Growth
1998-04,741862,-737,-0.0993446220456096,Decline
1998-03,742599,12079,1.62658446887216,Growth
1998-02,730520,9658,1.32207194874884,Growth
