Period,PrivatePublicSecLiabilities,M1Growth,M1GrowthRate,GrowthStatusM1
2021-10,2357485,29315,1.24348617276462,Growth
2021-09,2328170,41576,1.78578024800594,Growth
2021-08,2286594,5418,0.236946305290751,Growth
2021-07,2281176,-1703,-0.0746544764630173,Decline
2021-06,2282879,30245,1.32486215870399,Growth
2021-05,2252634,4182,0.185649333180623,Growth
2021-04,2248452,13714,0.609930743462613,Growth
2021-03,2234738,39428,1.7643231555556,Growth
2021-02,2195310,18923,0.861973935343983,Growth
2021-01,2176387,-3764,-0.172947182647204,Decline
2020-12,2180151,20025,0.918514359785171,Growth
2020-11,2160126,27800,1.28696196425579,Growth
2020-10,2132326,35490,1.66437964926564,Growth
2020-09,2096836,17670,0.842698236771975,Growth
2020-08,2079166,12857,0.618372943766876,Growth
2020-07,2066309,14358,0.694862191472815,Growth
2020-06,2051951,26149,1.27434816913269,Growth
2020-05,2025802,50971,2.51608992389187,Growth
2020-04,1974831,25608,1.29671855465101,Growth
2020-03,1949223,124093,6.36628030758923,Growth
2020-02,1825130,19151,1.04929511870387,Growth
2020-01,1805979,-6120,-0.338874372293366,Decline
2019-12,1812099,-6927,-0.382263882933548,Decline
2019-11,1819026,19734,1.0848662965785,Growth
2019-10,1799292,-12223,-0.679322755839519,Decline
2019-09,1811515,14299,0.789339309914629,Growth
2019-08,1797216,19874,1.10582144828446,Growth
2019-07,1777342,2956,0.166315768152668,Growth
2019-06,1774386,10014,0.564364236417555,Growth
2019-05,1764372,12812,0.726150721049756,Growth
2019-04,1751560,-3795,-0.216664002375026,Decline
2019-03,1755355,17835,1.01603379373403,Growth
2019-02,1737520,-10418,-0.599590220544224,Decline
2019-01,1747938,-28304,-1.61927940235866,Decline
2018-12,1776242,-9578,-0.539228325870011,Decline
2018-11,1785820,1476,0.0826511070544624,Growth
2018-10,1784344,20699,1.16003416381595,Growth
2018-09,1763645,16114,0.913675938184839,Growth
2018-08,1747531,7452,0.426430203527148,Growth
2018-07,1740079,-9815,-0.56405485038323,Decline
2018-06,1749894,18930,1.08177981066282,Growth
2018-05,1730964,29195,1.68663241985391,Growth
2018-04,1701769,-680,-0.0399584197385192,Decline
2018-03,1702449,8397,0.493230634221642,Growth
2018-02,1694052,-4977,-0.293792634464585,Decline
2018-01,1699029,-2729,-0.160621154789,Decline
2017-12,1701758,-3290,-0.193329486331194,Decline
2017-11,1705048,9636,0.565145380071411,Growth
2017-10,1695412,-7111,-0.419426074606055,Decline
2017-09,1702523,17792,1.04503727702944,Growth
2017-08,1684731,13550,0.804282701511399,Growth
2017-07,1671181,-4395,-0.262987671592724,Decline
2017-06,1675576,12237,0.730316022669219,Growth
2017-05,1663339,19036,1.14444499888477,Growth
2017-04,1644303,-6392,-0.38873613926387,Decline
2017-03,1650695,36700,2.22330594083098,Growth
2017-02,1613995,7957,0.493000288104982,Growth
2017-01,1606038,-16142,-1.00508207153255,Decline
2016-12,1622180,5181,0.319385025089694,Growth
2016-11,1616999,-1051,-0.0649969480500606,Decline
2016-10,1618050,8739,0.540094558264578,Growth
2016-09,1609311,5878,0.36524947632869,Growth
2016-08,1603433,6373,0.39745970053005,Growth
2016-07,1597060,876,0.0548507883235445,Growth
2016-06,1596184,64456,4.03813094229738,Growth
2016-05,1531728,23823,1.55530224687412,Growth
2016-04,1507905,-14498,-0.961466405376997,Decline
2016-03,1522403,22674,1.48935597210463,Growth
2016-02,1499729,28468,1.89820960986952,Growth
2016-01,1471261,10729,0.729238388022248,Growth
2015-12,1460532,-6603,-0.452095537790339,Decline
2015-11,1467135,12393,0.844707542250713,Growth
2015-10,1454742,9818,0.674896304636836,Growth
2015-09,1444924,21977,1.52097965014077,Growth
2015-08,1422947,-4658,-0.327348804980087,Decline
2015-07,1427605,10283,0.720297281110671,Growth
2015-06,1417322,13972,0.985802802750539,Growth
