Period,LCYFCYPrivatePublicSecLiab,M2Growth,M2GrowthRate,GrowthStatusM2
2021-10,2966466,29228,0.985280127936743,Growth
2021-09,2937238,34189,1.16398466859002,Growth
2021-08,2903049,4248,0.146328911430706,Growth
2021-07,2898801,-255,-0.00879674044544624,Decline
2021-06,2899056,26069,0.899223747316368,Growth
2021-05,2872987,6180,0.215107134142967,Growth
2021-04,2866807,18051,0.629655222692005,Growth
2021-03,2848756,30026,1.05400392311591,Growth
2021-02,2818730,19836,0.703721179396395,Growth
2021-01,2798894,-10063,-0.359534873417857,Decline
2020-12,2808957,18221,0.648674935216167,Growth
2020-11,2790736,20746,0.743388124136429,Growth
2020-10,2769990,35951,1.29787472156939,Growth
2020-09,2734039,3985,0.145755053238085,Growth
2020-08,2730054,9839,0.360395801694765,Growth
2020-07,2720215,7838,0.288138989013736,Growth
2020-06,2712377,24531,0.904409674613817,Growth
2020-05,2687846,59727,2.22211391575261,Growth
2020-04,2628119,34174,1.30032163688174,Growth
2020-03,2593945,134207,5.1738568088375,Growth
2020-02,2459738,23312,0.947743214927769,Growth
2020-01,2436426,-12097,-0.496505947646265,Decline
2019-12,2448523,4982,0.203469601878357,Growth
2019-11,2443541,21374,0.874714195505621,Growth
2019-10,2422167,-18208,-0.751723559936206,Decline
2019-09,2440375,-580,-0.0237668391128413,Decline
2019-08,2440955,19683,0.806364722004298,Growth
2019-07,2421272,-6335,-0.261639336679233,Decline
2019-06,2427607,16341,0.673132018485694,Growth
2019-05,2411266,2105,0.087298539439448,Growth
2019-04,2409161,3588,0.148931515992497,Growth
2019-03,2405573,27701,1.15153437455442,Growth
2019-02,2377872,-9019,-0.379288708559586,Decline
2019-01,2386891,-34166,-1.43140176907953,Decline
2018-12,2421057,-5639,-0.232914797131996,Decline
2018-11,2426696,7303,0.300944164411199,Growth
2018-10,2419393,22238,0.919156168510035,Growth
2018-09,2397155,11941,0.49813216083232,Growth
2018-08,2385214,9873,0.413925123699593,Growth
2018-07,2375341,-9759,-0.410846274282303,Decline
2018-06,2385100,11339,0.475409836065574,Growth
2018-05,2373761,26823,1.12997896586893,Growth
2018-04,2346938,8406,0.358168814003608,Growth
2018-03,2338532,3184,0.136153792208103,Growth
2018-02,2335348,-4379,-0.18750952748798,Decline
2018-01,2339727,-8085,-0.345553135045242,Decline
2017-12,2347812,-5027,-0.214114247648449,Decline
2017-11,2352839,9702,0.412352906424962,Growth
2017-10,2343137,-4059,-0.173229307547958,Decline
2017-09,2347196,7495,0.319317176750472,Growth
2017-08,2339701,20937,0.894857932701657,Growth
2017-07,2318764,-8362,-0.360623159579845,Decline
2017-06,2327126,15517,0.666788132658051,Growth
2017-05,2311609,19004,0.82211135187655,Growth
2017-04,2292605,3396,0.148128439046412,Growth
2017-03,2289209,23116,1.0097811077975,Growth
2017-02,2266093,635,0.0280217978697256,Growth
2017-01,2265458,-18566,-0.819525235073879,Decline
2016-12,2284024,-1813,-0.079377449623997,Decline
2016-11,2285837,-9281,-0.406021951696468,Decline
2016-10,2295118,13231,0.576484520621598,Growth
2016-09,2281887,6015,0.26359762775282,Growth
2016-08,2275872,13029,0.57248386552495,Growth
2016-07,2262843,8864,0.391719619964797,Growth
2016-06,2253979,71534,3.1736764184582,Growth
2016-05,2182445,13789,0.631814318344792,Growth
2016-04,2168656,-10082,-0.464896230660833,Decline
2016-03,2178738,11396,0.523055089689536,Growth
2016-02,2167342,21946,1.01257669532543,Growth
2016-01,2145396,10696,0.498555977544472,Growth
2015-12,2134700,1758,0.0823534922939992,Growth
2015-11,2132942,8886,0.416607671469735,Growth
2015-10,2124056,8440,0.397352988810088,Growth
2015-09,2115616,8829,0.417325261295055,Growth
2015-08,2106787,-1891,-0.0897575312549394,Decline
2015-07,2108678,11868,0.562817082551248,Growth
2015-06,2096810,4260,0.203165761323153,Growth
2015-05,2092550,8424,0.402571025781941,Growth
2015-04,2084126,-4221,-0.202530941027558,Decline
2015-03,2088347,34114,1.63354078608584,Growth
2015-02,2054233,-8278,-0.402972788383791,Decline
2015-01,2062511,-24353,-1.18074521784369,Decline
2014-12,2086864,9875,0.473198061780739,Growth
2014-11,2076989,18550,0.89311979986413,Growth
2014-10,2058439,-18852,-0.915839624103507,Decline
2014-09,2077291,11761,0.566170074390155,Growth
2014-08,2065530,-2678,-0.129651953735845,Decline
2014-07,2068208,-7147,-0.345564856145997,Decline
2014-06,2075355,1012,0.0487627417959819,Growth
2014-05,2074343,2843,0.137055443579003,Growth
2014-04,2071500,-15846,-0.764952932657495,Decline
2014-03,2087346,-6561,-0.314322589546726,Decline
2014-02,2093907,13318,0.636035888890958,Growth
2014-01,2080589,-7720,-0.371048775130504,Decline
