Period,TotalLiabPrivSec,LiabPrivNFIHousehold,LiabPrivFIs,LiabPrivNFIs,LiabPrivHousehold,PrivexcldOFCs,PrivOFCsexcldIntOFCs,M4Growth,M4GrowthRate,GrowthStatusM4,M4GrowthFIs,M4GrowthFIsRate,GrowthStatusM4FI,M4GrowthNFIs,M4GrowthNFIsRate,GrowthStatusM4NFI,M4GrowthHousehold,M4GrowthHouseholdRate,GrowthStatusM4Household
2021-10,2977815,2319262,658553,571714,1747548,2702123,382861,21372,0.717707446567366,Growth,11850,1.79939959274348,Growth,-4754,-0.831534648443103,Decline,14276,0.816916044652279,Growth
2021-09,2956443,2309740,646703,576468,1733272,2684986,375246,28047,0.948673794827095,Growth,5495,0.849694527472426,Growth,12039,2.08840733570641,Growth,10513,0.606540692978367,Growth
2021-08,2928396,2287188,641208,564429,1722759,2656354,369166,4042,0.138027780395821,Growth,-131,-0.020430188020112,Decline,4914,0.870614373109815,Growth,-741,-0.043012400457638,Decline
2021-07,2924354,2283014,641339,559515,1723500,2656249,373235,6376,0.218031059167255,Growth,16419,2.56011251459836,Growth,-14564,-2.60296864248501,Decline,4521,0.262315056570931,Growth
2021-06,2917978,2293058,624920,574079,1718979,2656360,363302,22422,0.768408809113708,Growth,-1701,-0.27219484093964,Decline,17658,3.07588328435633,Growth,6465,0.37609534496931,Growth
2021-05,2895556,2268935,626621,556421,1712514,2629994,361060,9095,0.314102023929083,Growth,-3035,-0.484343805905005,Decline,3730,0.670355719859603,Growth,8401,0.49056533260458,Growth
2021-04,2886461,2256805,629656,552691,1704113,2621909,365105,16688,0.57814742690097,Growth,-1817,-0.288570266939408,Decline,-3731,-0.675060748230024,Decline,22235,1.30478436582551,Growth
2021-03,2869773,2238300,631473,556422,1681878,2604678,366377,22701,0.791038176190242,Growth,-6805,-1.07763910729358,Decline,11716,2.10559611230325,Growth,17790,1.05774616232569,Growth
2021-02,2847072,2208795,638278,544706,1664088,2578001,369207,23298,0.818314394578008,Growth,5644,0.884254196447316,Growth,-4119,-0.756187741644116,Decline,21772,1.30834427025494,Growth
2021-01,2823774,2191140,632634,548825,1642316,2564620,373480,2390,0.0846385015231389,Growth,3083,0.487327585934363,Growth,-7852,-1.43069284380267,Decline,7160,0.435969691581888,Growth
2020-12,2821384,2191833,629551,556677,1635156,2558715,366882,15435,0.547071933490797,Growth,-17190,-2.73051746403389,Decline,8215,1.47572110936863,Growth,24409,1.4927627700354,Growth
2020-11,2805949,2159208,646741,548462,1610747,2539003,379794,22821,0.813307725835359,Growth,-313,-0.0483964987529784,Decline,7632,1.3915275807622,Growth,15502,0.962410608245739,Growth
2020-10,2783128,2136074,647054,540830,1595245,2504786,368712,-3722,-0.133734416814462,Decline,-26748,-4.133812633876,Decline,4576,0.846106909749829,Growth,18451,1.15662484445963,Growth
2020-09,2786850,2113048,673802,536254,1576794,2477543,364495,21323,0.765129088397294,Growth,7955,1.18061388954025,Growth,10700,1.99532311180896,Growth,2669,0.169267513701853,Growth
2020-08,2765527,2099680,665847,525554,1574125,2463666,363987,-16753,-0.605779657909686,Decline,-21740,-3.26501433512504,Decline,656,0.124820665431145,Growth,4330,0.275073453505916,Growth
2020-07,2782280,2094693,687587,524898,1569795,2468249,373556,33256,1.19527869229553,Growth,18056,2.62599496500079,Growth,8660,1.64984435071195,Growth,6539,0.416551205730685,Growth
