Period,InterestRate
2021-11,0.1
2020-03,0.1
2020-03,0.25
2018-08,0.75
2017-11,0.5
2016-08,0.25
2009-03,0.5
2009-02,1
2009-01,1.5
2008-12,2
2008-11,3
2008-10,4.5
2008-04,5
2008-02,5.25
2007-12,5.5
2007-07,5.75
2007-05,5.5
2007-01,5.25
2006-11,5
2006-08,4.75
2005-08,4.5
2004-08,4.75
2004-06,4.5
2004-05,4.25
2004-02,4
2003-11,3.75
2003-07,3.5
2003-02,3.75
2001-11,4
2001-10,4.5
2001-09,4.75
2001-08,5
2001-05,5.25
2001-04,5.5
2001-02,5.75
2000-02,6
2000-01,5.75
1999-11,5.5
1999-09,5.25
1999-06,5
1999-04,5.25
1999-02,5.5
1999-01,6
1998-12,6.25
1998-11,6.75
1998-10,7.25
1998-06,7.5
1997-11,7.25
